t,event,method,sid,success,reason,src,dst,L,bw,N,num_paths,latency_ms,cost_total,cost_bw,cost_cpu,emp_reli_pred,fail_idx,new_active,topo_size,sfc_len_group
5,place,BEAR-TORCH,2047,1,,30,24,3,1.0188329806576848,4,4,6.368574440398666,16.75455390973586,4.754553909735862,12.0,0.9825962772365573,,,,
8,place,BEAR-TORCH,2048,1,,25,10,5,0.9075418017766279,2,2,3.6468354769693523,14.537709008883139,4.537709008883139,10.0,0.998309437205605,,,,
9,place,BEAR-TORCH,2049,1,,4,17,5,1.1898846972690487,5,5,4.292268194428303,27.97471174317262,2.9747117431726213,25.0,0.9890773948066419,,,,
11,place,BEAR-TORCH,2050,1,,25,35,3,0.9959123608007768,5,5,4.965043610062478,18.734671353002913,3.734671353002913,15.0,0.9784753407486467,,,,
12,place,BEAR-TORCH,2051,1,,17,22,5,1.0698933437649667,2,2,5.2726927095831115,16.4193600625898,6.4193600625898,10.0,0.99760273041997,,,,
13,place,BEAR-TORCH,2052,1,,1,11,5,1.2024612539667934,2,2,7.533983217861437,19.619690031734347,9.619690031734347,10.0,0.9960082953087585,,,,
15,place,BEAR-TORCH,2053,1,,34,1,3,0.9421401994737183,2,2,4.696188111495845,11.65284119684231,5.65284119684231,6.0,0.99760273041997,,,,
16,place,BEAR-TORCH,2054,1,,8,28,7,1.0824590551694784,3,3,5.535759466757261,25.32983622067791,4.3298362206779135,21.0,0.9948007060618166,,,,
18,place,BEAR-TORCH,2055,0,not_enough_disjoint_paths,27,39,7,0.5572994324540445,4,0,,,,,,,,,
20,place,BEAR-TORCH,2056,1,,31,4,5,0.8494065199822611,2,2,5.0782472677647394,15.096439119893567,5.096439119893567,10.0,0.99760273041997,,,,
21,place,BEAR-TORCH,2057,1,,28,7,5,1.1354866003331274,4,4,5.495830768072404,24.54194640133251,4.54194640133251,20.0,0.9867333133235936,,,,
24,place,BEAR-TORCH,2058,0,not_enough_disjoint_paths,28,11,5,0.9634875329367824,3,0,,,,,,,,,
26,place,BEAR-TORCH,2059,1,,27,37,5,0.8683749621875311,5,5,7.054147906331361,28.25640610820324,3.2564061082032416,25.0,0.9788437980674104,,,,
28,place,BEAR-TORCH,2060,1,,31,16,5,1.2538174800978745,2,2,5.010240549753031,17.522904880587248,7.522904880587247,10.0,0.99760273041997,,,,
29,place,BEAR-TORCH,2061,0,not_enough_disjoint_paths,37,19,3,0.7826077421806905,4,0,,,,,,,,,
33,place,BEAR-TORCH,2062,0,not_enough_disjoint_paths,17,39,5,0.7716926172446436,2,0,,,,,,,,,
38,place,BEAR-TORCH,2063,1,,7,29,7,1.066713168957165,5,5,6.385029697500331,39.00017438358937,4.000174383589369,35.0,0.9784753407486467,,,,
40,place,BEAR-TORCH,2064,1,,14,35,5,0.8982615681455886,3,3,4.077010228685747,18.14391548850956,3.1439154885095597,15.0,0.995963258887253,,,,
41,place,BEAR-TORCH,2065,0,not_enough_disjoint_paths,20,15,3,0.9521787675132269,5,0,,,,,,,,,
47,place,BEAR-TORCH,2066,0,not_enough_disjoint_paths,5,38,5,0.9665716449432462,5,0,,,,,,,,,
48,place,BEAR-TORCH,2067,1,,35,34,3,1.2428685104226505,5,5,6.219020408871883,19.66075691408494,4.660756914084939,15.0,0.9786609568886753,,,,
51,place,BEAR-TORCH,2068,0,not_enough_disjoint_paths,3,39,3,1.2447771248375017,5,0,,,,,,,,,
52,place,BEAR-TORCH,2069,1,,38,26,3,1.2021679144635269,3,3,5.493521865597398,14.40975561508587,5.409755615085871,9.0,0.9932481612147593,,,,
53,place,BEAR-TORCH,2070,0,not_enough_disjoint_paths,8,18,3,0.6108346779921195,4,0,,,,,,,,,
54,place,BEAR-TORCH,2071,1,,33,32,5,0.798503923713777,4,4,6.538331158301137,23.460183669426367,3.4601836694263675,20.0,0.9848414709767725,,,,
56,place,BEAR-TORCH,2072,1,,4,21,5,1.036857196878108,3,3,5.199045895899175,19.147428787512432,4.147428787512432,15.0,0.9943871512307307,,,,
58,place,BEAR-TORCH,2073,1,,14,15,3,0.9135763345152751,4,4,6.156983463743172,15.6543053380611,3.6543053380611004,12.0,0.9869284854664049,,,,
59,place,BEAR-TORCH,2074,1,,6,12,7,1.4986147144654236,5,5,6.164224466347223,39.49584414339627,4.495844143396271,35.0,0.9853160851402156,,,,
60,place,BEAR-TORCH,2075,0,not_enough_disjoint_paths,39,1,7,1.1831971322546668,2,0,,,,,,,,,
62,place,BEAR-TORCH,2076,1,,2,21,7,1.2084560599087986,3,3,5.904559194933379,25.833824239635195,4.833824239635194,21.0,0.9948007060618166,,,,
63,place,BEAR-TORCH,2077,0,not_enough_disjoint_paths,12,1,3,0.9727785547494151,5,0,,,,,,,,,
64,place,BEAR-TORCH,2078,0,not_enough_disjoint_paths,11,34,5,1.0459961365787152,5,0,,,,,,,,,
65,place,BEAR-TORCH,2079,1,,35,16,7,0.9766505296851334,4,4,5.5177621212300245,31.581051942178824,3.5810519421788225,28.0,0.9888490401050741,,,,
66,place,BEAR-TORCH,2080,1,,28,10,5,1.143940919893148,3,3,5.021910880409412,19.575763679572592,4.575763679572592,15.0,0.9943871512307307,,,,
67,place,BEAR-TORCH,2081,1,,4,5,3,0.7884325526546963,3,3,3.9851092195858118,12.153730210618786,3.153730210618785,9.0,0.9943871512307307,,,,
68,place,BEAR-TORCH,2082,1,,0,17,3,1.1321974128713381,5,5,5.76404303739716,18.67964159183185,3.679641591831849,15.0,0.9833811312512991,,,,
70,place,BEAR-TORCH,2083,0,not_enough_disjoint_paths,20,2,5,0.9841014213640371,4,0,,,,,,,,,
71,place,BEAR-TORCH,2084,1,,30,25,7,1.1868930814874932,4,4,5.900793770176785,32.747572325949974,4.747572325949973,28.0,0.9867333133235936,,,,
72,place,BEAR-TORCH,2085,1,,2,3,5,0.7716813663360226,3,3,5.441442154343953,18.4725661485121,3.4725661485121018,15.0,0.9930429411012303,,,,
74,place,BEAR-TORCH,2086,1,,38,32,5,1.0393256915762263,3,3,5.51475148776929,18.637639920516794,3.637639920516792,15.0,0.9957517622956519,,,,
75,place,BEAR-TORCH,2087,1,,10,37,3,0.8266730218502597,4,4,5.333899926157356,15.031134413450953,3.0311344134509524,12.0,0.9884557337124165,,,,
